,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,2,7,1,0,-1,239.1888647999997,34,36,0,1
1,1,2,32,1,0,-1,97.2095944,34,36,0,1
2,2,0,0,0,0,-1,114.82067199999999,36,35,0,1
3,3,1,32,1,0,-1,97.8623384,33,36,0,1
4,4,2,32,1,0,-1,153.69296719999997,34,36,0,1
5,5,3,33,1,0,4,108.6139328,35,36,0,1
6,6,2,32,1,0,-1,197.4944248,34,36,0,1
7,7,3,33,1,0,-1,125.70409400000001,35,36,0,1
8,8,0,32,0,0,-1,119.06184,36,35,0,1
9,9,1,32,1,0,-1,122.30142959999999,33,36,0,1
10,10,2,4,1,0,4,172.5209064,34,36,0,1
11,11,2,32,1,0,-1,209.16708879999996,34,36,0,1
12,12,2,2,1,0,-1,189.10282799999973,34,36,0,1
13,13,3,21,0,0,3,153.2829172,36,33,0,1
14,14,0,32,0,0,0,204.2567191999997,36,35,0,1
15,15,1,2,1,0,2,175.9586543999997,33,35,0,1
16,16,2,2,1,0,13,168.08903039999998,34,36,0,1
17,17,3,7,1,0,-1,267.3279136,35,36,0,1
18,18,2,1,1,0,25,205.393072,34,36,0,1
19,19,3,24,1,0,9,298.85294680000004,35,36,0,1
20,20,2,2,1,0,-1,212.07063200000002,34,36,0,1
21,21,1,4,1,0,1,156.59272960000098,33,36,0,1
22,22,2,1,1,0,-1,149.62010040000004,34,36,0,1
23,23,3,33,1,0,8,222.1322304,35,36,0,1
24,24,2,1,1,0,15,203.73797119999998,34,36,0,1
25,25,3,4,1,0,3,98.34894959999997,35,36,0,1
26,26,4,36,1,0,1,211.09496319999965,33,36,0,1
27,27,1,4,1,0,0,159.47836959999998,33,36,0,1
28,28,2,1,1,0,3,210.83875840000002,34,36,0,1
29,29,3,21,0,0,3,198.0523152,36,34,0,1
30,30,2,1,1,0,-1,180.90294,34,36,0,1
31,31,3,4,1,0,4,320.9605075999999,35,36,0,1
32,32,4,26,2,14,1,207.41635600000004,33,35,0,1
33,33,1,29,1,0,1,106.1118216,33,36,0,1
34,34,3,4,1,0,3,160.16703119999997,35,36,0,1
35,35,3,1,1,0,1,180.53625800000003,35,36,0,1
36,36,2,1,1,0,0,126.6223279999991,34,36,0,1
37,37,1,29,1,0,4,119.38965759999999,33,36,0,1
38,38,1,29,1,0,-1,130.789825999999,33,36,0,1
39,39,2,4,1,0,3,115.6953156,34,36,0,1
40,40,2,1,1,0,-1,162.2654864,34,36,0,1
41,41,0,0,0,0,23,183.62322560000007,36,35,0,1
42,42,2,1,1,0,-1,292.9588464,34,36,0,1
43,43,2,1,1,0,-1,169.1738976,34,36,0,1
44,44,2,1,1,0,0,236.37283599999998,34,36,0,1
45,45,2,1,1,0,1,148.22926639999997,34,36,0,1
46,46,2,1,1,0,7,125.40057360000002,34,36,0,1
47,47,2,1,1,0,5,360.11486160000004,34,36,0,1
48,48,2,2,1,0,2,116.093244799998,34,36,0,1
49,49,3,24,1,0,10,134.02368879999997,35,36,0,1
50,50,1,3,1,0,3,106.69189640000099,33,36,0,1
51,51,1,1,1,0,7,232.37552959999968,33,35,0,1
52,52,2,2,1,0,4,182.23923039999997,34,36,0,1
53,53,3,1,1,0,0,155.562962,35,36,0,1
54,54,2,2,1,0,3,198.77289119999998,34,36,0,1
55,55,2,11,1,0,7,117.8265748,32,36,0,1
56,56,1,1,1,0,-1,195.69270679999997,33,34,0,1
57,57,1,29,1,0,1,172.7665472,31,36,0,1
58,58,2,26,2,6,3,230.52933159999995,34,35,0,1
59,59,4,4,1,0,3,126.71579159999997,33,36,0,1
60,60,1,26,2,5,9,143.74812879999996,33,35,0,1
61,61,3,20,1,0,-1,78.17182079999999,35,36,0,1
62,62,1,1,0,0,1,178.73253839999967,32,34,0,1
63,63,2,30,0,0,3,146.0755448,36,35,0,1
64,64,2,33,2,2,0,241.4804744,34,35,0,1
65,65,1,1,1,0,-1,170.79430399999995,33,35,0,1
