,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
0,0,2,1,1,0,0,48,49,1
1,1,1,1,1,0,3,47,49,1
2,2,1,0,1,0,1,47,49,1
3,3,2,1,1,0,0,48,49,1
4,4,2,0,1,0,0,48,49,1
5,5,2,1,1,0,0,48,49,1
6,6,2,2,1,0,3,48,49,1
7,7,1,2,1,0,0,47,49,1
8,8,3,21,0,0,2,49,48,1
9,9,0,0,1,0,1,46,48,1
10,10,1,1,0,0,1,47,48,1
11,11,0,2,1,0,1,47,49,1
12,12,0,1,1,0,1,46,49,1
13,13,0,2,1,0,21,47,49,1
14,14,0,1,1,0,0,46,49,1
15,15,2,2,1,0,0,48,49,1
16,16,0,1,1,0,3,46,49,1
17,17,0,2,1,0,4,47,49,1
18,18,0,2,1,0,25,47,49,1
19,19,0,1,1,0,3,46,49,1
20,20,3,33,0,0,25,49,48,1
21,21,3,33,0,0,4,49,48,1
22,22,2,2,1,0,0,48,49,1
23,23,2,2,1,0,6,48,49,1
24,24,0,2,1,0,4,47,49,1
25,25,0,4,1,0,1,47,49,1
26,26,1,1,1,0,3,47,49,1
27,27,2,4,1,0,3,48,49,1
28,28,2,33,2,7,0,48,49,1
29,29,2,1,1,0,2,48,49,1
30,30,3,33,0,0,14,49,48,1
31,31,3,33,0,0,4,49,48,1
32,32,3,33,0,0,5,49,48,1
33,33,2,1,1,0,1,48,49,1
34,34,3,25,0,0,0,49,48,1
35,35,1,4,1,0,1,47,49,1
36,36,2,1,1,0,2,48,49,1
37,37,3,25,0,0,1,49,48,1
38,38,0,25,0,0,25,47,48,1
39,39,2,2,1,0,1,48,49,1
40,40,1,2,0,0,2,47,48,1
41,41,0,4,1,0,13,46,49,1
42,42,3,25,0,0,4,49,48,1
43,43,0,4,1,0,2,46,49,1
44,44,3,21,0,0,14,49,48,1
45,45,1,1,0,0,1,47,48,1
46,46,3,20,0,0,2,49,48,1
47,47,2,2,1,0,4,48,49,1
48,48,1,18,2,10,3,47,49,1
49,49,2,18,2,16,3,48,49,1
50,50,2,4,1,0,3,48,49,1
51,51,2,5,1,0,1,48,49,1
52,52,0,4,1,0,4,47,49,1
