,Unnamed: 0,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
0,0,0,3,5,0,0,1,42,42,1
1,1,1,5,0,1,0,1,41,42,1
2,2,2,8,0,1,0,2,41,42,1
3,3,3,1,1,1,0,2,41,42,1
4,4,4,3,0,0,0,4,42,42,1
5,5,5,14,1,0,0,3,42,42,1
6,6,6,3,5,0,0,3,42,42,1
7,7,7,1,0,1,0,0,41,42,1
8,8,8,8,3,0,0,3,42,42,1
9,9,9,14,1,0,0,0,42,42,1
10,10,10,3,0,0,0,3,42,42,1
11,11,11,1,1,1,0,4,41,42,1
12,12,12,2,1,1,0,1,41,42,1
13,13,13,3,1,1,0,4,40,42,1
14,14,14,14,4,0,0,4,42,42,1
15,15,15,0,1,1,0,4,40,42,1
16,16,16,9,1,1,0,0,42,42,1
17,17,17,3,15,0,0,9,42,42,1
18,18,18,2,1,0,0,1,41,42,1
19,19,19,5,1,1,0,0,42,42,1
20,20,20,3,5,0,0,3,42,42,1
21,21,21,3,15,0,0,0,42,42,1
22,22,22,0,1,1,0,9,40,42,1
23,23,23,14,4,0,0,2,42,42,1
24,24,24,2,1,1,0,1,41,42,1
25,25,25,3,5,0,0,4,42,42,1
26,26,26,2,1,1,0,2,41,42,1
27,27,27,2,3,1,0,0,41,42,1
28,28,28,0,1,1,0,1,41,42,1
29,29,29,8,18,2,10,3,42,42,1
30,30,30,0,1,1,0,1,40,42,1
31,31,31,12,5,0,0,5,41,42,1
32,32,32,3,15,0,0,4,42,42,1
33,33,33,5,26,2,36,1,41,42,1
34,34,34,0,1,1,0,1,41,42,1
35,35,35,4,33,2,3,4,41,42,1
36,36,36,5,1,1,0,21,41,42,1
37,37,37,0,1,1,0,3,40,42,1
38,38,38,11,26,2,19,8,42,42,1
39,39,39,14,14,0,0,8,42,42,1
40,40,40,3,24,0,0,9,42,42,1
41,41,41,6,1,1,0,1,41,42,1
42,42,42,3,2,0,0,2,40,42,1
43,43,43,0,1,1,0,2,41,42,1
44,44,44,11,9,0,0,9,42,42,1
45,45,45,14,0,0,0,2,42,41,1
46,46,46,3,1,1,0,1,41,42,1
47,47,47,10,14,0,0,14,41,42,1
48,48,48,4,1,1,0,1,41,42,1
49,49,49,10,7,1,0,4,42,42,1
50,50,50,1,26,2,16,14,40,42,1
51,51,51,13,1,1,0,4,42,42,1
52,52,52,8,2,1,0,11,42,42,1
53,53,53,13,0,1,0,21,42,42,1
54,54,54,11,2,1,0,2,38,42,1
55,55,55,13,1,1,0,2,42,42,1
56,56,56,13,0,1,0,8,42,42,1
57,57,57,7,6,0,0,6,41,42,1
58,58,58,0,1,1,0,4,41,42,1
59,59,59,3,14,0,0,8,42,42,1
60,60,60,0,2,1,0,9,40,42,1
61,61,61,0,2,1,0,2,41,42,1
62,62,62,9,1,1,0,4,41,42,1
63,63,63,5,3,0,0,3,41,42,1
64,64,64,3,0,0,0,9,42,42,1
65,65,65,0,1,1,0,9,41,42,1
66,66,66,1,18,2,7,2,40,42,1
67,67,67,3,8,0,0,8,41,42,1
68,68,68,14,0,0,0,3,42,41,1
69,69,69,3,3,0,0,1,42,42,1
70,70,70,3,1,1,0,3,41,42,1
71,71,71,3,7,1,0,0,40,42,1
72,72,72,7,1,0,0,1,40,42,1
73,73,73,8,2,0,0,2,41,42,1
74,74,74,3,2,1,0,2,41,42,1
75,75,75,0,1,1,0,10,41,42,1
76,76,76,3,15,0,0,1,42,42,1
77,77,77,3,15,0,0,5,42,42,1
78,78,78,3,1,1,0,11,41,42,1
79,79,79,5,3,1,0,9,41,42,1
80,80,80,8,26,2,25,4,41,42,1
81,81,81,0,5,1,0,2,39,42,1
82,82,82,3,1,1,0,2,39,42,1
83,83,83,2,14,0,0,14,40,42,1
84,84,84,6,0,0,0,0,41,42,1
85,85,85,8,26,2,34,2,40,42,1
86,86,86,13,0,1,0,3,42,42,1
87,87,87,13,2,1,0,1,42,42,1
88,88,88,0,0,1,0,2,41,42,1
89,89,89,0,2,1,0,9,41,42,1
90,90,90,5,26,2,7,2,39,42,1
91,91,91,2,18,2,16,4,41,42,1
92,92,92,13,3,1,0,1,42,42,1
93,93,93,8,1,0,0,1,41,42,1
94,94,94,8,1,1,0,1,42,42,1
95,95,95,14,9,0,0,9,42,42,1
96,96,96,3,2,1,0,10,41,42,1
97,97,97,5,2,0,0,2,40,42,1
98,98,98,5,0,0,0,0,40,42,1
99,99,99,8,26,2,4,10,41,42,1
100,100,100,3,15,0,0,6,42,42,1
101,101,101,8,1,1,0,3,41,42,1
102,102,102,13,1,1,0,2,42,42,1
103,103,103,9,11,0,0,11,41,42,1
104,104,104,14,14,0,0,8,42,42,1
105,105,105,3,29,0,0,9,42,42,1
106,106,106,0,1,1,0,1,38,42,1
107,107,107,11,2,1,0,2,41,42,1
108,108,108,12,26,2,14,8,40,42,1
109,109,109,3,15,0,0,2,42,42,1
110,110,110,3,0,0,0,3,42,42,1
111,111,111,3,15,0,0,4,42,42,1
112,112,112,3,30,0,0,4,42,42,1
113,113,113,10,14,0,0,14,41,42,1
114,114,114,8,2,0,0,2,40,42,1
115,115,115,4,3,1,0,3,39,42,1
116,116,116,3,21,0,0,21,42,42,1
117,117,117,5,26,2,21,14,39,42,1
118,118,118,0,1,1,0,5,41,42,1
119,119,119,13,0,1,0,11,42,42,1
120,120,120,6,3,0,0,3,40,42,1
121,121,121,3,2,1,0,11,40,42,1
122,122,122,13,2,1,0,9,42,42,1
123,123,123,5,14,0,0,14,40,42,1
124,124,124,2,15,2,19,15,40,42,1
125,125,125,3,3,0,0,6,42,42,1
126,126,126,6,18,2,15,3,42,42,1
127,127,127,3,26,0,0,26,42,42,1
128,128,128,9,11,2,16,4,42,42,1
129,129,129,13,8,1,0,17,42,42,1
130,130,130,3,21,0,0,22,42,42,1
131,131,131,0,1,1,0,21,40,42,1
132,132,132,7,3,0,0,3,40,42,1
133,133,133,3,29,0,0,5,42,42,1
134,134,134,3,30,0,0,7,42,42,1
135,135,135,4,18,2,15,5,41,42,1
136,136,136,14,21,0,0,7,42,42,1
137,137,137,2,18,2,16,1,40,42,1
138,138,138,0,5,1,0,22,39,42,1
139,139,139,2,4,1,0,3,41,42,1
140,140,140,3,26,0,0,26,41,42,1
141,141,141,3,14,0,0,14,42,42,1
142,142,142,12,18,2,7,9,40,42,1
143,143,143,6,18,2,8,6,40,42,1
144,144,144,6,1,0,0,1,41,42,1
145,145,145,0,2,1,0,6,40,42,1
146,146,146,3,5,0,0,4,42,42,1
147,147,147,3,29,0,0,12,42,42,1
148,148,148,4,7,1,0,14,41,42,1
149,149,149,10,8,0,0,8,41,42,1
150,150,150,9,14,0,0,14,41,42,1
151,151,151,0,0,1,0,2,41,42,1
152,152,152,6,28,2,39,15,41,42,1
153,153,153,0,2,0,0,15,42,42,1
154,154,154,3,24,0,0,9,42,42,1
155,155,155,3,29,0,0,4,42,42,1
156,156,156,0,2,1,0,1,40,42,1
157,157,157,3,29,0,0,3,42,42,1
158,158,158,0,2,0,0,2,41,42,1
159,159,159,3,15,0,0,4,42,42,1
160,160,160,3,15,0,0,13,42,42,1
161,161,161,3,11,0,0,11,42,42,1
162,162,162,2,4,0,0,4,41,42,1
163,163,163,3,30,0,0,4,42,42,1
164,164,164,1,2,0,0,2,39,42,1
165,165,165,1,3,1,0,15,41,42,1
166,166,166,3,15,0,0,3,42,42,1
167,167,167,14,14,0,0,14,42,42,1
168,168,168,14,13,0,0,3,42,42,1
169,169,169,10,15,0,0,15,40,42,1
170,170,170,13,3,1,0,14,42,42,1
171,171,171,0,3,0,0,3,40,42,1
172,172,172,13,7,1,0,13,42,42,1
173,173,173,0,1,1,0,3,41,42,1
174,174,174,3,11,0,0,3,42,42,1
175,175,175,3,26,2,19,12,40,42,1
176,176,176,5,18,2,3,2,39,42,1
177,177,177,3,30,0,0,3,42,42,1
178,178,178,3,34,0,0,17,42,42,1
179,179,179,9,26,2,1,14,41,42,1
180,180,180,3,30,0,0,16,42,42,1
181,181,181,14,0,0,0,9,42,41,1
182,182,182,2,4,1,0,13,41,42,1
183,183,183,0,7,1,0,4,38,42,1
184,184,184,4,26,2,11,3,41,42,1
185,185,185,14,1,0,0,1,41,42,1
186,186,186,1,2,0,0,2,40,42,1
187,187,187,3,15,0,0,1,42,42,1
188,188,188,3,15,0,0,1,42,42,1
189,189,189,3,24,0,0,26,42,42,1
190,190,190,0,15,1,0,35,41,42,1
191,191,191,11,28,2,3,16,42,42,1
192,192,192,0,15,1,0,1,40,42,1
193,193,193,11,1,0,0,1,42,42,1
194,194,194,9,1,1,0,1,37,42,1
195,195,195,3,7,1,0,2,42,42,1
196,196,196,8,1,1,0,2,41,42,1
197,197,197,8,26,2,14,3,41,42,1
198,198,198,3,30,0,0,14,42,42,1
199,199,199,10,9,0,0,9,42,42,1
200,200,200,0,15,1,0,2,40,42,1
201,201,201,3,29,0,0,3,42,42,1
202,202,202,0,15,1,0,4,40,42,1
203,203,203,5,2,1,0,4,41,42,1
204,204,204,0,20,1,0,4,40,42,1
205,205,205,7,18,2,14,2,40,42,1
206,206,206,5,6,0,0,6,41,42,1
207,207,207,3,29,0,0,7,42,42,1
208,208,208,14,5,0,0,2,42,42,1
209,209,209,0,15,1,0,6,41,42,1
210,210,210,1,6,1,0,4,40,42,1
211,211,211,14,5,0,0,16,42,42,1
212,212,212,14,0,0,0,20,42,41,1
213,213,213,3,11,0,0,2,42,42,1
214,214,214,3,30,0,0,4,42,42,1
215,215,215,9,3,0,0,3,42,42,1
216,216,216,13,28,2,31,16,42,42,1
217,217,217,3,34,0,0,3,42,42,1
218,218,218,0,0,1,0,26,38,42,1
219,219,219,8,33,2,1,11,42,42,1
220,220,220,0,9,0,0,9,41,42,1
221,221,221,8,7,1,0,7,42,42,1
