,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status
0,0,3,21,0,0,-1,552.5571367999995,44,43,1
1,1,0,1,1,0,-1,150.33494959999996,41,44,1
2,2,3,33,0,0,1,296.780568,44,43,1
3,3,0,0,1,0,-1,326.38289760000004,41,44,1
4,4,0,2,1,0,3,255.72641760000008,42,44,1
5,5,3,33,0,0,4,297.89868400000006,44,43,1
6,6,0,2,1,0,-1,466.6354543999999,42,44,1
7,7,3,21,0,0,1,231.99505879999995,44,42,1
8,8,3,33,0,0,-1,302.494024,44,43,1
9,9,1,1,0,0,1,282.88179119999995,42,43,1
10,10,1,0,0,0,0,390.14625639999997,42,43,1
11,11,3,33,0,0,-1,540.2471856000001,44,43,1
12,12,1,0,1,0,1,377.50909919999975,42,44,1
13,13,3,33,0,0,0,536.1418483999998,44,43,1
14,14,2,0,1,0,21,432.42811039999964,43,44,1
15,15,2,0,1,0,14,373.59363599999887,43,44,1
16,16,2,1,1,0,3,393.3308575999995,43,44,1
17,17,0,2,1,0,3,469.40188799999993,42,44,1
18,18,2,2,1,0,25,412.80598080000004,43,44,1
19,19,2,1,1,0,-1,761.6682364,43,44,1
20,20,0,0,0,0,0,324.3283664,41,43,1
21,21,0,2,1,0,3,309.0619408000019,42,44,1
22,22,2,1,1,0,0,285.87012439999995,43,44,1
23,23,3,33,0,0,1,338.2318135999997,44,43,1
24,24,3,25,0,0,6,365.5980224,44,43,1
25,25,3,20,0,0,1,226.13120479999998,44,43,1
26,26,0,4,1,0,-1,315.0736352,42,44,1
27,27,0,4,0,0,4,473.4049768,42,43,1
28,28,0,1,1,0,2,369.56574959999995,41,44,1
29,29,2,1,1,0,0,340.75594240000004,43,44,1
30,30,0,4,1,0,15,425.0057327999998,42,44,1
31,31,2,4,1,0,2,609.8506016000001,43,44,1
32,32,2,5,1,0,5,667.7388195999999,43,44,1
33,33,0,5,0,0,5,304.83545120000014,42,43,1
34,34,0,4,1,0,9,370.05408439999985,42,44,1
35,35,0,3,1,0,0,379.77235279999996,41,44,1
36,36,3,25,0,0,4,310.98937039999936,44,43,1
37,37,2,6,1,0,4,378.03162799999996,43,44,1
38,38,3,25,0,0,2,387.5680843999989,44,43,1
39,39,3,20,0,0,1,291.377916,44,43,1
40,40,1,1,1,0,4,447.4233191999996,42,44,1
41,41,2,33,2,5,7,283.0173996000001,43,44,1
42,42,2,15,1,0,3,581.0752107999999,43,44,1
43,43,3,20,0,0,25,438.0185792000001,44,43,1
44,44,0,4,1,0,7,632.395234,42,44,1
45,45,3,20,0,0,9,560.4537823999999,44,43,1
46,46,0,4,1,0,4,261.78648400000003,42,44,1
47,47,2,33,2,11,0,805.7950096,43,44,1
48,48,0,5,0,0,5,410.581869599999,41,43,1
49,49,2,1,1,0,9,403.77453920000005,43,44,1
50,50,3,25,0,0,3,337.40531959999896,44,43,1
51,51,2,1,1,0,0,301.3663447999997,43,44,1
52,52,1,1,1,0,1,313.9561863999994,42,44,1
53,53,2,1,1,0,4,218.72934360000002,43,44,1
54,54,2,1,1,0,4,245.57491399999998,43,44,1
