,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,2,0,1,0,-1,527.2645855999997,54,55,1,1
1,1,2,1,1,0,0,229.0306336000001,54,55,1,1
2,2,0,1,1,0,-1,262.9154976,52,55,1,1
3,3,1,1,1,0,-1,327.05610240000004,53,55,1,1
4,4,2,1,1,0,-1,355.20615999999995,54,55,1,1
5,5,3,0,0,0,4,269.94244799999996,55,54,1,1
6,6,2,1,1,0,0,406.62737520000013,54,55,1,1
7,7,3,32,0,0,-1,322.3297132,55,54,1,1
8,8,1,1,1,0,-1,304.6319552,53,55,1,1
9,9,1,3,0,0,3,342.305292,53,54,1,1
10,10,2,2,1,0,0,424.6273747999999,54,55,1,1
11,11,2,4,1,0,3,502.94236559999996,54,55,1,1
12,12,2,2,1,0,0,403.5136639999996,54,55,1,1
13,13,3,0,0,0,0,471.43590279999995,55,53,1,1
14,14,1,3,1,0,3,343.4245199999991,51,55,1,1
15,15,1,3,1,0,2,335.3011375999991,51,55,1,1
16,16,2,4,1,0,3,356.04271759999904,54,55,1,1
17,17,3,32,0,0,3,524.6033471999999,55,54,1,1
18,18,2,0,1,0,3,414.69660320000014,54,55,1,1
19,19,3,21,0,0,13,674.7774459999999,55,54,1,1
20,20,2,18,2,30,14,433.6299600000001,54,55,1,1
21,21,1,1,1,0,1,399.7261920000009,50,55,1,1
22,22,2,0,1,0,0,309.7702848000001,54,55,1,1
23,23,3,32,0,0,1,472.27329439999977,55,54,1,1
24,24,2,1,1,0,7,428.3522967999999,54,55,1,1
25,25,3,32,0,0,1,205.65183439999998,55,54,1,1
26,26,0,2,1,0,0,455.19519839999964,52,55,1,1
27,27,1,1,1,0,15,428.61773120000004,53,55,1,1
28,28,2,20,1,0,13,402.7040168000001,54,55,1,1
29,29,3,34,0,0,3,579.6010880000001,55,54,1,1
30,30,1,16,1,0,16,455.8343760000001,50,55,1,1
31,31,3,32,0,0,4,765.7650668000001,55,54,1,1
32,32,0,2,1,0,1,687.4560808,52,55,1,1
33,33,1,26,2,5,3,225.75874040000014,50,55,1,1
34,34,3,0,0,0,9,371.8386776,55,54,1,1
35,35,3,21,0,0,17,487.2423155999999,55,54,1,1
36,36,2,1,1,0,1,247.0819519999982,54,55,1,1
37,37,1,4,1,0,4,334.1144112,50,55,1,1
38,38,1,0,1,0,-1,260.36584839999716,50,55,1,1
39,39,2,1,1,0,3,441.40456359999996,54,55,1,1
40,40,2,20,1,0,-1,281.8634215999991,54,55,1,1
41,41,0,6,1,0,3,408.7076492,50,55,1,1
42,42,2,1,1,0,-1,791.3065391999997,54,55,1,1
43,43,2,18,2,16,21,434.0581912000001,54,55,1,1
44,44,2,1,1,0,0,632.7443463999998,54,55,1,1
45,45,2,18,2,1,2,385.51005039999967,54,55,1,1
46,46,2,4,1,0,1,317.8549696,54,55,1,1
47,47,2,3,1,0,9,786.0999328,54,55,1,1
48,48,2,1,1,0,10,308.59973799999904,54,55,1,1
49,49,3,7,1,0,1,375.073152,53,55,1,1
